id,nr_isos,tool,recall
30_3,30,isONform,0.9333333333333333
20_3,20,isONform,1.0
20_6, 20, RATTLE, 0.75
25_2,25,isONform,0.96
10_10, 10, RATTLE, 0.7
20_8,20,isONform,0.95
5_5,5,isONform,1.0
10_10,10,isONform,0.9
30_8,30,isONform,0.9666666666666667
20_5, 20, RATTLE, 0.8
35_5,35,isONform,0.9428571428571428
50_6,50,isONform,0.96
45_9,45,isONform,0.9333333333333333
5_3,5,isONform,1.0
20_4, 20, RATTLE, 0.85
5_8,5,isONform,1.0
15_5, 15, RATTLE, 0.8
15_6, 15, RATTLE, 0.9333333333333333
30_7, 30, RATTLE, 0.7333333333333333
15_7,15,isONform,1.0
10_3,10,isONform,1.0
30_3, 30, RATTLE, 0.5666666666666667
20_8, 20, RATTLE, 0.7
50_8, 50, RATTLE, 0.64
50_4,50,isONform,0.96
15_4, 15, RATTLE, 0.8666666666666667
50_10,50,isONform,0.92
25_5, 25, RATTLE, 0.68
35_7, 35, RATTLE, 0.6285714285714286
5_10,5,isONform,1.0
10_6, 10, RATTLE, 1.0
45_7, 45, RATTLE, 0.6444444444444445
50_9, 50, RATTLE, 0.66
35_10,35,isONform,0.9142857142857143
20_6,20,isONform,1.0
10_7, 10, RATTLE, 1.0
20_7, 20, RATTLE, 0.8
35_4,35,isONform,0.9142857142857143
30_2,30,isONform,1.0
20_5,20,isONform,1.0
35_3, 35, RATTLE, 0.7428571428571429
20_2,20,isONform,0.95
