id,nr_isos,tool,precision
10_6, 10, RATTLE, 1.0
45_7, 45, RATTLE, 1.0
50_9, 50, RATTLE, 1.0
35_10,35,isONform,1.0
20_6,20,isONform,0.9090909090909091
10_7, 10, RATTLE, 1.0
20_7, 20, RATTLE, 1.0
35_4,35,isONform,1.0
30_2,30,isONform,0.967741935483871
20_5,20,isONform,1.0
35_3, 35, RATTLE, 1.0
20_2,20,isONform,1.0
