Number,SIRV_ID,Tool
490, SIRV702, isONform 
563, SIRV703, isONform 
239, SIRV704, isONform 
94, SIRV701, isONform 
243, SIRV706, isONform 
249, SIRV708, isONform 
16, SIRV705, isONform 
369, SIRV702, original 
443, SIRV703, original 
234, SIRV704, original 
252, SIRV701, original 
256, SIRV706, original 
244, SIRV708, original 
138, SIRV705, original 
0, SIRV702, RATTLE 
0, SIRV703, RATTLE 
0, SIRV704, RATTLE 
1915, SIRV701, RATTLE 
0, SIRV706, RATTLE 
0, SIRV708, RATTLE 
0, SIRV705, RATTLE 
