Number,SIRV_ID,Tool
2244, SIRV605, isONform 
9946, SIRV602, isONform 
5555, SIRV615, isONform 
5319, SIRV614, isONform 
752, SIRV601, isONform 
759, SIRV612, isONform 
759, SIRV617, isONform 
268, SIRV616, isONform 
10651, SIRV609, isONform 
3731, SIRV606, isONform 
2524, SIRV607, isONform 
861, SIRV608, isONform 
746, SIRV611, isONform 
1269, SIRV604, isONform 
434, SIRV603, isONform 
113, SIRV613, isONform 
498, SIRV610, isONform 
2112, SIRV605, original 
9263, SIRV602, original 
5026, SIRV615, original 
4932, SIRV614, original 
812, SIRV601, original 
886, SIRV612, original 
747, SIRV617, original 
1500, SIRV616, original 
10051, SIRV609, original 
2301, SIRV606, original 
2429, SIRV607, original 
823, SIRV608, original 
753, SIRV611, original 
1100, SIRV604, original 
288, SIRV603, original 
70, SIRV613, original 
506, SIRV610, original 
0, SIRV605, RATTLE 
0, SIRV602, RATTLE 
0, SIRV615, RATTLE 
0, SIRV614, RATTLE 
40397, SIRV601, RATTLE 
95, SIRV612, RATTLE 
773, SIRV617, RATTLE 
0, SIRV616, RATTLE 
0, SIRV609, RATTLE 
0, SIRV606, RATTLE 
0, SIRV607, RATTLE 
48, SIRV608, RATTLE 
0, SIRV611, RATTLE 
53, SIRV604, RATTLE 
0, SIRV603, RATTLE 
0, SIRV613, RATTLE 
0, SIRV610, RATTLE 
