Number,SIRV_ID,Tool
934, SIRV309, isONform 
1562, SIRV308, isONform 
313, SIRV301, isONform 
1822, SIRV310, isONform 
205, SIRV304, isONform 
352, SIRV307, isONform 
45, SIRV306, isONform 
515, SIRV305, isONform 
136, SIRV302, isONform 
946, SIRV309, original 
1464, SIRV308, original 
232, SIRV301, original 
1772, SIRV310, original 
246, SIRV304, original 
301, SIRV307, original 
113, SIRV306, original 
568, SIRV305, original 
156, SIRV302, original 
0, SIRV309, RATTLE 
1463, SIRV308, RATTLE 
0, SIRV301, RATTLE 
2729, SIRV310, RATTLE 
0, SIRV304, RATTLE 
0, SIRV307, RATTLE 
1729, SIRV306, RATTLE 
0, SIRV305, RATTLE 
0, SIRV302, RATTLE 
