Number,SIRV_ID,Tool
3585, SIRV506, isONform 
4316, SIRV507, isONform 
2127, SIRV505, isONform 
591, SIRV508, isONform 
274, SIRV511, isONform 
848, SIRV504, isONform 
646, SIRV512, isONform 
92, SIRV502, isONform 
339, SIRV510, isONform 
363, SIRV509, isONform 
430, SIRV503, isONform 
48, SIRV501, isONform 
1793, SIRV506, original 
4053, SIRV507, original 
2128, SIRV505, original 
623, SIRV508, original 
1820, SIRV511, original 
855, SIRV504, original 
661, SIRV512, original 
101, SIRV502, original 
413, SIRV510, original 
350, SIRV509, original 
438, SIRV503, original 
126, SIRV501, original 
0, SIRV506, RATTLE 
0, SIRV507, RATTLE 
14014, SIRV505, RATTLE 
0, SIRV508, RATTLE 
0, SIRV511, RATTLE 
1495, SIRV504, RATTLE 
0, SIRV512, RATTLE 
0, SIRV502, RATTLE 
0, SIRV510, RATTLE 
0, SIRV509, RATTLE 
0, SIRV503, RATTLE 
0, SIRV501, RATTLE 
